epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
85,18630.5,0.69749,0.46474,1.03718,0.92638,0.91922,0.92574,0.76234,0.65433,0.65132,1.14103,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,18847.8,0.69401,0.45925,1.03583,0.92223,0.92363,0.92566,0.76204,0.6545,0.65138,1.14155,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,19065,0.69078,0.4557,1.03157,0.92097,0.92295,0.92409,0.76187,0.65443,0.65188,1.1417,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,19282.4,0.6874,0.45501,1.03073,0.92076,0.92296,0.92426,0.76173,0.65472,0.65206,1.14207,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,19499.3,0.68528,0.45586,1.02885,0.92012,0.92384,0.92433,0.76188,0.65509,0.65259,1.14285,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,19715.8,0.6848,0.45156,1.02851,0.9207,0.92394,0.92434,0.7623,0.65491,0.6531,1.14259,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,19964.9,0.62827,0.35069,1.02735,0.92191,0.92379,0.92618,0.76331,0.65519,0.65402,1.14323,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,20175.6,0.61869,0.34601,1.02165,0.92247,0.92253,0.92607,0.7632,0.65497,0.65463,1.14284,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,20385.5,0.61398,0.34042,1.01841,0.93406,0.91471,0.92589,0.76289,0.65524,0.65613,1.14362,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,20595.2,0.60807,0.33496,1.01408,0.92376,0.92241,0.92555,0.76302,0.65559,0.65756,1.14434,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,20805.9,0.60786,0.33895,1.01482,0.92349,0.92161,0.92564,0.76381,0.65584,0.65989,1.14502,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,21015.7,0.60205,0.33227,1.01207,0.93572,0.91226,0.92586,0.76412,0.6561,0.66246,1.14586,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,21225.8,0.60107,0.33147,1.01148,0.93546,0.91463,0.92592,0.76381,0.65626,0.66515,1.14661,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,21435.8,0.59328,0.32537,1.00661,0.93734,0.91238,0.92576,0.76399,0.65645,0.66751,1.14728,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,21646.5,0.5913,0.32649,1.0073,0.93744,0.91297,0.92581,0.76395,0.65655,0.66857,1.14802,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,21856.1,0.59274,0.33002,1.00639,0.93753,0.913,0.9256,0.76378,0.65658,0.6701,1.14867,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
